Date,Company,Price,Daily_Return,Volume_M
2020-01-01,Apple,300.35,0.0,53.0
2020-01-02,Apple,293.28,-2.355,80.8
2020-01-03,Apple,288.28,-1.705,79.7
2020-01-06,Apple,285.46,-0.978,112.6
2020-01-07,Apple,278.83,-2.322,94.2
2020-01-08,Apple,272.46,-2.282,79.2
2020-01-09,Apple,270.26,-0.81,104.5
2020-01-10,Apple,266.46,-1.406,121.7
2020-01-13,Apple,260.25,-2.329,96.7
2020-01-14,Apple,256.39,-1.484,80.3
2020-01-15,Apple,250.69,-2.221,40.6
2020-01-16,Apple,245.26,-2.167,48.0
2020-01-17,Apple,241.45,-1.554,70.8
2020-01-20,Apple,233.78,-3.177,61.7
2020-01-21,Apple,226.84,-2.97,74.4
2020-01-22,Apple,222.3,-1.998,81.7
2020-01-23,Apple,217.22,-2.285,95.9
2020-01-24,Apple,214.68,-1.173,77.9
2020-01-27,Apple,210.24,-2.064,94.6
2020-01-28,Apple,205.23,-2.387,81.9
2020-01-29,Apple,205.15,-0.038,20.7
2020-01-30,Apple,202.47,-1.306,51.8
2020-01-31,Apple,200.45,-0.998,75.7
2020-02-03,Apple,196.25,-2.095,43.7
2020-02-04,Apple,193.65,-1.325,98.0
2020-02-05,Apple,192.24,-0.727,125.9
2020-02-06,Apple,189.08,-1.645,116.6
2020-02-07,Apple,188.41,-0.356,73.6
2020-02-10,Apple,186.43,-1.051,124.7
2020-02-11,Apple,185.07,-0.726,84.5
2020-02-12,Apple,183.42,-0.893,69.9
2020-02-13,Apple,185.53,1.152,61.6
2020-02-14,Apple,185.03,-0.268,70.9
2020-02-17,Apple,183.14,-1.021,68.4
2020-02-18,Apple,184.16,0.555,85.1
2020-02-19,Apple,182.32,-1.001,84.8
2020-02-20,Apple,182.7,0.211,80.1
2020-02-21,Apple,180.07,-1.442,93.1
2020-02-24,Apple,178.49,-0.874,115.7
2020-02-25,Apple,179.23,0.41,108.5
2020-02-26,Apple,180.86,0.912,35.5
2020-02-27,Apple,181.8,0.518,3.4
2020-02-28,Apple,182.43,0.349,108.0
2020-03-02,Apple,182.9,0.258,39.0
2020-03-03,Apple,181.76,-0.627,73.3
2020-03-04,Apple,181.81,0.031,44.9
2020-03-05,Apple,182.34,0.289,25.9
2020-03-06,Apple,185.19,1.563,96.2
2020-03-09,Apple,187.1,1.031,102.8
2020-03-10,Apple,185.94,-0.616,62.7
2020-03-11,Apple,187.99,1.098,2.3
2020-03-12,Apple,189.05,0.564,63.6
2020-03-13,Apple,189.73,0.364,91.8
2020-03-16,Apple,192.46,1.437,35.6
2020-03-17,Apple,195.94,1.808,85.5
2020-03-18,Apple,199.38,1.754,79.5
2020-03-19,Apple,200.07,0.348,97.4
2020-03-20,Apple,201.67,0.798,83.6
2020-03-23,Apple,204.36,1.336,50.8
2020-03-24,Apple,208.2,1.878,115.9
2020-03-25,Apple,209.69,0.715,75.2
2020-03-26,Apple,211.72,0.966,79.2
2020-03-27,Apple,212.22,0.237,52.0
2020-03-30,Apple,212.59,0.176,66.7
2020-03-31,Apple,216.43,1.807,53.5
2020-04-01,Apple,221.32,2.257,74.8
2020-04-02,Apple,223.75,1.1,131.4
2020-04-03,Apple,228.18,1.977,38.8
2020-04-06,Apple,231.5,1.456,31.6
2020-04-07,Apple,232.99,0.643,124.1
2020-04-08,Apple,236.38,1.455,73.7
2020-04-09,Apple,242.08,2.412,59.9
2020-04-10,Apple,244.81,1.127,111.2
2020-04-13,Apple,250.74,2.424,61.8
2020-04-14,Apple,248.35,-0.954,134.8
2020-04-15,Apple,252.83,1.803,100.3
2020-04-16,Apple,255.86,1.198,65.4
2020-04-17,Apple,258.1,0.876,144.7
2020-04-20,Apple,261.15,1.181,61.8
2020-04-21,Apple,259.85,-0.499,102.3
2020-04-22,Apple,262.2,0.906,89.0
2020-04-23,Apple,265.76,1.359,119.1
2020-04-24,Apple,271.76,2.257,126.8
2020-04-27,Apple,273.45,0.622,81.0
2020-04-28,Apple,274.47,0.373,57.4
2020-04-29,Apple,276.13,0.604,93.8
2020-04-30,Apple,280.92,1.733,59.7
2020-05-01,Apple,284.4,1.239,140.4
2020-05-04,Apple,285.9,0.528,84.1
2020-05-05,Apple,289.76,1.351,69.0
2020-05-06,Apple,292.64,0.995,85.5
2020-05-07,Apple,297.56,1.681,39.6
2020-05-08,Apple,298.49,0.31,50.9
2020-05-11,Apple,300.25,0.59,116.0
2020-05-12,Apple,301.8,0.517,60.3
